feature,best_target,max_cv,test_shift_tvd
action_group,next_actionId,0.4578091549812131,0.12949326266798564
serve_receive_phase,next_actionId,0.4266815177698119,0.17448862007461277
prev_handId,next_actionId,0.42526364843911385,0.12928635718644804
position_changed,next_actionId,0.3837177113026391,0.13876015178605627
prev_strikeId,next_actionId,0.35615428707860747,0.17448862007461274
action_bigram,next_actionId,0.3558520673517537,0.21965054664582503
action_point_combo,next_actionId,0.3293562341389546,0.19339438612474186
stage_bucket,next_actionId,0.3189188573049434,0.17448862007461274
prev_spinId,next_actionId,0.3096143729173358,0.14023434584789815
prev_positionId,next_actionId,0.29910259365091707,0.2027012958077793
prev_strengthId,next_actionId,0.296931812390723,0.12928635718644804
action_spin_combo,next_actionId,0.29380151866307513,0.19285327914912012
hand_action_combo,next_actionId,0.28705827148286434,0.1710883708751519
prev_actionId,next_actionId,0.269008779225086,0.1943428571273265
spin_bigram,next_actionId,0.24819410427713093,0.14846283460038076
hand_changed,next_actionId,0.2346346466879321,0.07331187557446875
strike_parity,next_actionId,0.2271273923159233,0.04295990419812967
spin_changed,next_actionId,0.2257371018127258,0.06013749967785301
prev_pointId,next_actionId,0.21301913059078553,0.1416266322459165
prefix_unique_action_count,next_actionId,0.20845453894506139,0.16005062471570336
action_changed,next_actionId,0.18159993190283716,0.053168393715451547
prefix_attack_count,next_actionId,0.1790265197853437,0.13746260297431656
point_changed,next_actionId,0.15201788149597747,0.02533757004817909
same_action_run_bucket,next_actionId,0.1291788149135519,0.053168393715451547
prefix_serve_count,next_actionId,0.12077958048251032,0.0646608547091299
prefix_defense_count,next_actionId,0.09284229171289028,0.10659231472137118
prefix_control_count,next_actionId,0.0899143980836254,0.11064224561405304
same_action_run_len,next_pointId,0.07835086615668949,0.05316839371545155
score_total,target_serverGetPoint,0.05996184103414371,0.2695748125328502
is_deuce_like,next_actionId,0.036983231678125415,0.01727122593562185
score_diff,target_serverGetPoint,0.0352392739210418,0.09497764971552265
lead_state,next_actionId,0.03283243301225,0.09395271477322166
is_game_point_other,next_actionId,0.027373193679427237,0.00032197509757615067
is_close_score,next_actionId,0.0269959029157061,0.06397605260201059
is_game_point_self,target_serverGetPoint,0.021596210536253414,0.0014827953058055426
